Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"Punch-Out!!
",Wii,Fighting,Nintendo,Next Level Games,8.5,8.7,N/A,1.14,N/A,N/A,N/A,N/A,N/A,18th May 09,N/A,2009
"Marvel vs. Capcom 3: Fate of Two Worlds
",X360,Fighting,Capcom,Capcom,8.4,8.4,N/A,N/A,1.07,0.79,0.18,0.03,0.08,15th Feb 11,N/A,2011
"Teenage Mutant Ninja Turtles: Smash-Up
",Wii,Fighting,Ubisoft,Game Arts,8.2,7.2,N/A,N/A,0.35,0.33,0.00,N/A,0.03,22nd Sep 09,N/A,2009
"Naruto Shippuden: Ultimate Ninja Storm 2
",PS3,Fighting,Namco Bandai,CyberConnect2,8.2,7.3,N/A,1.01,N/A,N/A,N/A,N/A,N/A,19th Oct 10,N/A,2010
"Street Fighter III: 3rd Strike Online Edition
",XBL,Fighting,Capcom,Capcom,8.1,9.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 11,N/A,2011
"Dead or Alive 5 Plus
",PSV,Fighting,Tecmo Koei,Team Ninja,8,8,N/A,N/A,0.10,N/A,0.06,0.03,0.02,19th Mar 13,20th Nov 18,2013
"Dead or Alive 6
",PS4,Fighting,Koei Tecmo,Team Ninja,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Feb 19,21st Mar 19,2019
"Granblue Fantasy Versus
",PS4,Fighting,Xseed Games,Arc System Works,8,N/A,N/A,0.15,N/A,N/A,N/A,N/A,N/A,18th Feb 20,06th Aug 19,2020
"Mortal Kombat 11
",PS4,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Apr 19,31st Mar 19,2019
"Mortal Kombat: Kenshi
",PSN,Fighting,Unknown,Netherrealms,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tekken Tag Tournament 2
",PS3,Fighting,Namco Bandai Games,Bandai Namco Games,8,N/A,N/A,1.45,N/A,N/A,N/A,N/A,N/A,11th Sep 12,16th Mar 18,2012
"The King of Fighters XV
",PS5,Fighting,Unknown,SNK Corporation,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 21,N/A
"WWE All Stars
",X360,Fighting,THQ,THQ,8,7.7,N/A,N/A,0.34,0.18,0.14,N/A,0.03,29th Mar 11,N/A,2011
"WWE SmackDown vs. Raw 2009
",Wii,Fighting,THQ,Yuke's Media Creations,8,8.2,N/A,N/A,0.83,0.44,0.31,N/A,0.08,09th Nov 08,N/A,2008
"Fire Pro Wrestling Returns
",PS2,Fighting,Agetec,S-Neo,7.9,N/A,N/A,N/A,0.09,0.04,0.03,N/A,0.01,13th Nov 07,N/A,2007
"Dead or Alive 5 Ultimate
",PS3,Fighting,Tecmo Koei,Team Ninja,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Sep 13,20th Nov 18,2013
