Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"Hole In The Wall
",XBL,Misc,Microsoft,Ludia,3.9,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Aug 11,N/A,2011
"Dead or Alive Paradise
",PSP,Misc,Tecmo,Team Ninja,3.7,4.5,N/A,N/A,0.20,0.08,0.02,0.07,0.02,30th Mar 10,N/A,2010
"Windforge
",PC,Misc,Unknown,Unknown,3.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Mar 14,N/A,2014
"Fable II Pub Games
",XBL,Misc,Microsoft Game Studios,Lionhead Studios,3,5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 08,N/A,2008
"The Price Is Right 2010 Edition
",Wii,Misc,Ubisoft,Ludia Inc.,3,N/A,N/A,N/A,0.24,0.22,N/A,N/A,0.02,22nd Sep 09,N/A,2009
"Publisher Dream
",DSi,Misc,CIRCLE Entertainment,Unknown,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd May 13,N/A,2013
"Z-Run
",PSV,Misc,Beatshapers,Unknown,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 14,N/A,2014
"Just Sing! National Anthems
",DSiW,Misc,Engine Software,Engine Software,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Aug 10,N/A,2010
"World of Warcraft: Cataclysm
",PC,MMO,Blizzard Entertainment,Blizzard Entertainment,9,9,N/A,4.70,N/A,N/A,N/A,N/A,N/A,07th Dec 10,22nd Apr 18,2010
"World of Warcraft: Mists of Pandaria
",PC,MMO,Blizzard Entertainment,Blizzard Entertainment,8.4,N/A,N/A,2.70,N/A,N/A,N/A,N/A,N/A,25th Sep 12,22nd Apr 18,2012
"DC Universe Online
",PC,MMO,Sony Online Entertainment,WBIE,7.7,7,N/A,N/A,0.23,0.16,0.06,N/A,0.02,11th Jan 11,15th Sep 18,2011
"The Elder Scrolls Online
",PC,MMO,Bethesda Softworks,ZeniMax Online Studios,6.9,N/A,N/A,N/A,1.02,0.35,0.59,N/A,0.08,04th Apr 14,15th Sep 18,2014
"Super Mario Galaxy
",Wii,Platform,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.6,12.80,N/A,N/A,N/A,N/A,N/A,12th Nov 07,N/A,2007
"Super Mario Galaxy 2
",Wii,Platform,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.8,7.41,N/A,N/A,N/A,N/A,N/A,23rd May 10,N/A,2010
"Rayman Legends
",PSV,Platform,Ubisoft,Ubisoft Montpellier,9.4,N/A,N/A,N/A,0.16,0.01,0.12,N/A,0.03,03rd Sep 13,02nd Jan 19,2013
"Rayman Legends
",WiiU,Platform,Ubisoft,Ubisoft Montpellier,9.4,9.5,N/A,N/A,0.68,0.25,0.35,0.03,0.05,03rd Sep 13,02nd Jan 19,2013
"LittleBigPlanet 2
",PS3,Platform,Sony Computer Entertainment,Media Molecule,9.3,9.1,N/A,N/A,3.43,1.83,1.07,0.06,0.47,18th Jan 11,N/A,2011
"Ori and the Blind Forest: Definitive Edition
",PC,Platform,Nordic Games,Moon Studios,9.3,N/A,N/A,1.76,N/A,N/A,N/A,N/A,N/A,14th Jun 16,12th Aug 18,2016
"Shantae: Risky's Revenge
",DSiW,Platform,WayForward,WayForward Technologies,9.3,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 10,N/A,2010
"Super Mario 3D World
",WiiU,Platform,Nintendo,Nintendo EAD Tokyo,9.3,9.5,N/A,5.88,N/A,N/A,N/A,N/A,N/A,22nd Nov 13,02nd Jan 18,2013
"LittleBigPlanet
",PS3,Platform,Sony Computer Entertainment,Media Molecule,9.2,9.4,9.2,4.50,N/A,N/A,N/A,N/A,N/A,28th Oct 08,N/A,2008
"Mega Man 9
",PSN,Platform,Capcom,Inti Creates,9.2,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Sep 08,N/A,2008
"Mega Man 9
",WW,Platform,Capcom,Inti Creates,9.2,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 08,N/A,2008
"Mega Man 9
",XBL,Platform,Capcom,Inti Creates,9.2,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 08,N/A,2008
"Kirby's Epic Yarn
",Wii,Platform,Nintendo,Good-Feel,9.1,8.7,N/A,1.85,N/A,N/A,N/A,N/A,N/A,17th Oct 10,N/A,2010
"Rayman Origins
",PS3,Platform,Ubisoft,Ubisoft,9.1,8.5,N/A,N/A,1.00,0.33,0.50,0.01,0.16,15th Nov 11,N/A,2011
"Rayman Origins
",PSV,Platform,Ubisoft,UBIart Montpellier,9.1,N/A,N/A,N/A,0.59,0.12,0.37,0.00,0.10,14th Feb 12,N/A,2012
"Super Mario 3D Land
",3DS,Platform,Nintendo,Nintendo EAD Tokyo,9.1,8.9,N/A,12.86,N/A,N/A,N/A,N/A,N/A,13th Nov 11,06th Apr 18,2011
"New Super Mario Bros. Wii
",Wii,Platform,Nintendo,Nintendo EAD,9.1,8.6,9.2,30.32,N/A,N/A,N/A,N/A,N/A,15th Nov 09,N/A,2009
"Celeste
",NS,Platform,Matt Makes Games Inc.,Matt Makes Games Inc.,9,9.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 18,13th Jan 18,2018
"Ghosts 'n Goblins Resurrection
",NS,Platform,Capcom,Capcom,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Feb 21,26th Feb 21,2021
"Kirby Super Star Ultra
",DS,Platform,Nintendo,HAL Laboratory,9,7.3,N/A,2.99,N/A,N/A,N/A,N/A,N/A,22nd Sep 08,N/A,2008
"Kirby: Mass Attack
",DS,Platform,Nintendo,HAL Laboratory,9,8.4,N/A,1.22,N/A,N/A,N/A,N/A,N/A,19th Sep 11,N/A,2011
"LIMBO
",XBL,Platform,Microsoft Game Studios,Playdead,9,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Apr 11,N/A,2011
"LittleBigPlanet PS Vita
",PSV,Platform,Sony Computer Entertainment,Media Molecule,9,N/A,N/A,N/A,1.38,0.36,0.69,0.02,0.31,25th Sep 12,06th Apr 18,2012
"Metroid Dread
",NS,Platform,Nintendo,Nintendo,9,N/A,N/A,2.90,N/A,N/A,N/A,N/A,N/A,08th Oct 21,15th Jun 21,2021
"The Sly Collection
",PS3,Platform,Sony Computer Entertainment,Sanzaru Games,9,8.7,N/A,N/A,0.69,0.52,0.08,0.01,0.08,09th Nov 10,12th Apr 18,2010
"Super Mario Sunshine
",GC,Platform,Nintendo,Nintendo EAD,8.9,9.2,N/A,5.91,N/A,N/A,N/A,N/A,N/A,25th Aug 02,N/A,2002
"Donkey Kong Country Returns 3D
",3DS,Platform,Nintendo,Monster Games,8.8,8.6,N/A,2.93,N/A,N/A,N/A,N/A,N/A,24th May 13,28th Sep 18,2013
"Fez
",XBL,Platform,Polytron,Polytron,8.8,N/A,N/A,0.20,N/A,N/A,N/A,N/A,N/A,13th Apr 12,N/A,2012
"Outland
",XBL,Platform,Ubisoft,Housemarque,8.8,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Apr 11,N/A,2011
"Sonic CD
",XBL,Platform,Sega,Sonic Team,8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Dec 11,N/A,2011
"Ratchet & Clank Future: Tools of Destruction
",PS3,Platform,Sony Computer Entertainment,Insomniac Games,8.8,8.9,N/A,1.00,N/A,N/A,N/A,N/A,N/A,23rd Oct 07,N/A,2007
"Braid
",PC,Platform,Number None,Number None Inc.,8.7,8.8,N/A,1.01,N/A,N/A,N/A,N/A,N/A,10th Apr 09,N/A,2009
"Braid
",PSN,Platform,Number None,Hothead Games,8.7,9.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 09,N/A,2009
"Braid
",XBL,Platform,Microsoft,Number None Inc.,8.7,9.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Aug 08,N/A,2008
"PixelJunk Eden
",PSN,Platform,Sony Computer Entertainment,Q-Games,8.7,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 08,N/A,2008
"Closure
",PC,Platform,Glaiel Games,Glaiel Games,8.7,N/A,N/A,0.19,N/A,N/A,N/A,N/A,N/A,01st Jan 09,N/A,2009
"Puppeteer
",PS3,Platform,Sony Computer Entertainment America,SCE Japan Studio,8.7,N/A,N/A,N/A,0.27,0.11,0.09,0.02,0.04,10th Sep 13,16th Sep 18,2013
"Trine 2
",PC,Platform,Frozenbyte,Frozenbyte,8.7,N/A,N/A,2.79,N/A,N/A,N/A,N/A,N/A,07th Dec 11,N/A,2011
"Donkey Kong Country Returns
",Wii,Platform,Nintendo,Retro Studios,8.6,8.6,N/A,6.53,N/A,N/A,N/A,N/A,N/A,21st Nov 10,N/A,2010
"Ratchet & Clank Collection
",PS3,Platform,Sony Computer Entertainment,Idol Minds,8.6,N/A,N/A,N/A,0.75,0.47,0.14,0.02,0.12,28th Aug 12,06th Jan 18,2012
"Tearaway
",PSV,Platform,Sony Computer Entertainment America,Media Molecule,8.6,N/A,N/A,N/A,0.65,0.10,0.41,N/A,0.15,22nd Nov 13,23rd Sep 18,2013
"N+
",XBL,Platform,Metanet Software Inc.,Slick Entertainment,8.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Feb 08,N/A,2008
"Adventures of Shuggy
",XBL,Platform,Valcon Games,Smudged Cat Games,8.5,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Jun 11,27th Mar 19,2011
"Cave Story
",WW,Platform,Unknown,Nicalis,8.5,8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 10,N/A,2010
"Cuphead - The Delicious Last Course
",NS,Platform,Unknown,Studio MDHR,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jun 22,N/A
"Monster Tale
",DS,Platform,Majesco,DreamRift,8.5,7.7,N/A,N/A,0.06,0.06,N/A,N/A,0.00,22nd Mar 11,N/A,2011
"Patapon
",PSP,Platform,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.5,8.7,N/A,N/A,0.82,0.33,0.25,0.07,0.17,26th Feb 08,N/A,2008
"ScourgeBringer
",PSV,Platform,Unknown,Flying Oak Games,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Mar 21,N/A
"LocoRoco
",PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8,8.1,N/A,N/A,0.39,0.14,0.05,0.16,0.03,05th Sep 06,17th Sep 18,2006
"Prinny: Can I Really Be the Hero?
",PSP,Platform,NIS America,Nippon Ichi Software,8.4,7.2,N/A,N/A,0.11,0.04,0.01,0.05,0.01,17th Feb 09,N/A,2009
"BIT.TRIP SAGA
",3DS,Platform,Aksys Games,Gaijin Games Inc.,8.3,7.5,N/A,N/A,0.14,0.09,0.04,N/A,0.01,13th Sep 11,14th Jan 19,2011
"Sonic Colors
",DS,Platform,Sega,Sonic Team,8.3,8.2,8.1,1.50,N/A,N/A,N/A,N/A,N/A,16th Nov 10,N/A,2010
"Sonic Generations
",PS3,Platform,Sega,Sonic Team,8.3,7.3,N/A,N/A,1.59,0.60,0.72,0.02,0.25,01st Nov 11,N/A,2011
"Castlevania: Order of Ecclesia
",DS,Platform,Konami,Konami,8.3,8.2,9.2,N/A,0.37,0.27,0.03,0.04,0.03,21st Oct 08,N/A,2008
"Mirror's Edge
",PS3,Platform,Electronic Arts,EA Digital Illusions CE,8.3,7.7,8.2,N/A,1.13,0.31,0.59,0.02,0.21,11th Nov 08,25th Mar 19,2008
"Mirror's Edge
",X360,Platform,Electronic Arts,EA Digital Illusions CE,8.3,7.6,N/A,N/A,1.16,0.51,0.51,0.01,0.12,11th Nov 08,25th Mar 19,2008
"Ratchet & Clank Future: A Crack in Time
",PS3,Platform,Sony Computer Entertainment,Insomniac Games,8.3,8.7,9,N/A,1.89,1.05,0.55,0.03,0.26,27th Oct 09,N/A,2009
"Trine
",PSN,Platform,Nobilis,Frozenbyte,8.3,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 09,N/A,2009
"Mega Man 10
",PSN,Platform,Capcom,Inti Creates,8.2,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Mar 10,N/A,2010
"Mega Man 10
",WW,Platform,Capcom,Inti Creates,8.2,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 10,N/A,2010
"Mega Man 10
",XBL,Platform,Capcom,Inti Creates,8.2,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 10,N/A,2010
"Awesomenauts
",XBL,Platform,DTP Entertainment,Ronimo Games,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd May 12,N/A,2012
"Kirby's Dream Collection: Special Edition
",Wii,Platform,Nintendo,HAL Laboratory,8.2,8,N/A,N/A,0.69,0.33,N/A,0.33,0.03,16th Sep 12,20th Mar 18,2012
"New Super Mario Bros. U
",WiiU,Platform,Nintendo,Nintendo EAD,8.2,8.4,N/A,5.82,N/A,N/A,N/A,N/A,N/A,18th Nov 12,02nd Aug 20,2012
"Castlevania: The Adventure ReBirth
",WW,Platform,Konami,M2,8.1,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Dec 09,N/A,2009
"Splosion Man
",XBL,Platform,Twisted Pixel Games,Twisted Pixel Games,8,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jul 09,N/A,2009
"And Yet It Moves
",WW,Platform,Broken Rules,Broken Rules,8,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 10,N/A,2010
"Crash Bandicoot 4: It’s About Time
",XOne,Platform,Activision,Toys for Bob,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Oct 20,20th Jun 20,2020
"Cyber Hook
",PC,Platform,Unknown,Blazing Stick,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 20,N/A
"Cyber Shadow
",NS,Platform,Yacht Club Games,Mechanical Head Studios,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,16th Jul 20,2020
"Disney Classic Games: Aladdin and The Lion King
",NS,Platform,Unknown,Disney Interactive,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Nov 19,N/A
"GRIS
",PS4,Platform,Devolver Digital,Nomada Studio,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 19,27th Nov 19,2019
"Kirby and the Forgotten Land
",NS,Platform,Nintendo,HAL Laboratory,8,N/A,N/A,6.12,N/A,N/A,N/A,N/A,N/A,25th Mar 22,15th Jan 22,2022
"Ratchet & Clank Future: Quest for Booty
",PSN,Platform,Sony Computer Entertainment,Insomniac Games,8,7.7,8.7,N/A,0.09,0.01,0.06,N/A,0.02,21st Aug 08,N/A,2008
"Shovel Knight: King of Cards
",NS,Platform,Unknown,Yacht Club Games,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Dec 19,N/A
"Sly Cooper: Thieves in Time
",PS3,Platform,Sony Computer Entertainment,Sanzaru Games,8,N/A,N/A,N/A,0.58,0.35,0.13,N/A,0.10,05th Feb 13,12th Apr 18,2013
"Spyro Reignited Trilogy
",PS4,Platform,Activision,Toys for Bob,8,N/A,N/A,N/A,2.17,0.75,1.07,N/A,0.35,13th Nov 18,08th Apr 18,2018
"The Messenger
",NS,Platform,Devolver Digital,Sabotage,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 18,26th Mar 18,2018
"Yooka-Laylee and the Impossible Lair
",NS,Platform,Team 17,Playtonic Games,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 19,08th Jun 19,2019
"Yoshi's Crafted World
",NS,Platform,Nintendo,Good-Feel,8,7.8,N/A,3.01,N/A,N/A,N/A,N/A,N/A,29th Mar 19,22nd Mar 19,2019
"Wario Land: Shake It!
",Wii,Platform,Nintendo,Good-Feel,7.9,7.3,N/A,1.06,N/A,N/A,N/A,N/A,N/A,22nd Sep 08,N/A,2008
"Kirby's Return to Dreamland
",Wii,Platform,Nintendo,HAL Laboratory,7.8,7.6,N/A,1.79,N/A,N/A,N/A,N/A,N/A,24th Oct 11,N/A,2011
"Ms. 'Splosion Man
",XBL,Platform,Twisted Pixel Games,Twisted Pixel Games,7.8,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jul 11,N/A,2011
"Monsters (Probably) Stole My Princess!
",PSN,Platform,Mediatonic,Mediatonic Ltd.,7.6,8.4,9,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 10,N/A,2010
"New Super Mario Bros. 2
",3DS,Platform,Nintendo,Nintendo,7.6,7.5,N/A,13.41,N/A,N/A,N/A,N/A,N/A,19th Aug 12,30th Jan 18,2012
"30XX
",PC,Platform,Batterystaple Games,Batterystaple Games,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,26th Aug 20,2021
"Comic Jumper
",XBL,Platform,Twisted Pixel Games,Twisted Pixel Games,7.5,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Oct 10,N/A,2010
"Death Jr.: Root of Evil
",Wii,Platform,Eidos Interactive,Backbone Entertainment,7.5,7.3,N/A,N/A,0.11,0.10,0.00,N/A,0.01,27th May 08,N/A,2008
"Disney Epic Mickey: The Power of Illusion
",3DS,Platform,Disney Interactive Studios,DreamRift,7.5,N/A,N/A,N/A,0.03,0.00,0.03,N/A,N/A,18th Nov 12,27th Apr 19,2012
"LittleBigPlanet 3
",PS4,Platform,Sony Computer Entertainment,Sumo Digital,7.5,N/A,N/A,N/A,2.06,0.78,0.93,0.01,0.34,18th Nov 14,03rd Apr 18,2014
"Ratchet & Clank: All 4 One
",PS3,Platform,Sony Computer Entertainment,Insomniac Games,7.5,7.5,N/A,N/A,1.15,0.75,0.22,0.05,0.13,18th Oct 11,N/A,2011
"Black Knight Sword
",PS3,Platform,Unknown,Grasshopper Manufacture,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Aug 22,N/A
"Donkey Kong Country: Tropical Freeze
",WiiU,Platform,Nintendo,Retro Studios,7.4,8.8,9.1,2.02,N/A,N/A,N/A,N/A,N/A,21st Feb 14,22nd Jan 18,2014
"Rayman 3 HD
",XBL,Platform,Unknown,Ubisoft Montpellier,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Aug 22,N/A
"World Gone Sour
",X360,Platform,Unknown,Playbrains,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Feb 18,N/A
"Disney Epic Mickey
",Wii,Platform,Disney Interactive Studios,Junction Point Studios,7.3,7,N/A,2.00,N/A,N/A,N/A,N/A,N/A,30th Nov 10,N/A,2010
"DuckTales: Remastered
",X360,Platform,Capcom,WayForward,7.3,N/A,N/A,N/A,0.04,0.03,N/A,N/A,0.00,12th Nov 13,17th Feb 19,2013
"Strider (2014)
",PS4,Platform,Capcom,Double Helix Games,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 14,03rd Jan 19,2014
"Klonoa
",Wii,Platform,Namco Bandai,Paon Corporation,7.2,7.6,N/A,N/A,0.16,0.10,0.02,0.03,0.01,05th May 09,N/A,2009
"The Legendary Starfy
",DS,Platform,Nintendo,TOSE Software,7.2,7.1,N/A,N/A,0.85,0.60,N/A,0.20,0.05,08th Jun 09,N/A,2009
"de Blob 2
",PS3,Platform,THQ,Blue Tongue,7.2,7.5,N/A,N/A,0.21,0.11,0.07,N/A,0.03,22nd Feb 11,N/A,2011
"Sonic Colors
",Wii,Platform,Sega,Sonic Team,7.2,7.7,N/A,1.80,N/A,N/A,N/A,N/A,N/A,16th Nov 10,N/A,2010
"Tiny and Big: Grandpa's Leftovers
",PC,Platform,Unknown,Black Pants Studio,7.2,N/A,N/A,0.36,N/A,N/A,N/A,N/A,N/A,N/A,11th Feb 19,N/A
"Bloodstained: Curse of the Moon
",NS,Platform,Inti Creates,Inti Creates,7,N/A,N/A,0.30,N/A,N/A,N/A,N/A,N/A,24th May 18,05th Jun 18,2018
"Cling!
",iOS,Platform,Unknown,First5 Games,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Aug 22,N/A
"Donkey Kong Country: Tropical Freeze
",NS,Platform,Nintendo,Retro Studios,7,9.1,9.1,4.12,N/A,N/A,N/A,N/A,N/A,04th May 18,02nd Aug 20,2018
"Exception
",NS,Platform,Traxmaster Software,Traxmaster Software,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 19,11th Aug 19,2019
"Flat Heroes
",NS,Platform,Deck 13,Parallel Circles,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Aug 18,01st Aug 18,2018
"Halloween Forever
",PSV,Platform,Unknown,Imaginary Monsters,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 18,N/A
"Kirby Star Allies
",NS,Platform,Nintendo,HAL Laboratory,7,8.1,10,3.98,N/A,N/A,N/A,N/A,N/A,16th Mar 18,14th Mar 18,2018
"MagiCat
",NS,Platform,Unknown,Kucing Rembes,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 18,N/A
"MO:Astray
",NS,Platform,Unknown,Archpray Inc.,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 20,N/A
"Nin2-Jump
",XBL,Platform,Cave,Cave,7,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Apr 11,N/A,2011
"Oddworld: Soulstorm
",PS4,Platform,Oddworld Inhabitants,Oddworld Inhabitants,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,14th Jun 20,2021
"Owlboy
",NS,Platform,Soedesco,D-Pad Studios,7,9,N/A,N/A,0.05,0.03,0.01,N/A,0.01,29th May 18,06th Nov 18,2018
"Pid
",PC,Platform,Unknown,Might and Delight,7,N/A,N/A,0.28,N/A,N/A,N/A,N/A,N/A,N/A,16th Feb 19,N/A
"Projection: First Light
",PC,Platform,Blowfish Studios,Shadowplay Studios,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 20,29th Sep 20,2020
"Runner3
",NS,Platform,Nicalis,Choice Provisions,7,7.5,9,N/A,0.02,0.02,N/A,N/A,0.00,22nd May 18,18th Mar 19,2018
"Sackboy: A Big Adventure
",PS5,Platform,Sony Interactive Entertainment,Sumo Digital,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20,11th Jun 20,2020
"Secret Agent Clank(US sales)
",PSP,Platform,Sony Computer Entertainment,High Impact Games,7,7.2,N/A,N/A,0.55,0.33,0.22,N/A,N/A,17th Jun 08,N/A,2008
"Shantae and the Seven Sirens
",NS,Platform,WayForward,WayForward,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th May 20,02nd Oct 19,2020
"Shantae: Half-Genie Hero
",NS,Platform,Xseed Games,WayForward Technologies,7,N/A,N/A,N/A,0.12,0.09,0.01,0.01,0.01,08th May 18,30th Dec 18,2018
"Shantae: Risky's Revenge
",NS,Platform,WayForward,WayForward Technologies,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 20,10th Jul 20,2020
"Shovel Knight Dig
",NS,Platform,Unknown,Yacht Club Games,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Sep 22,N/A
"Super Mario 3D All-Stars
",NS,Platform,Nintendo,Nintendo,7,N/A,N/A,9.07,N/A,N/A,N/A,N/A,N/A,18th Sep 20,04th Sep 20,2020
"Unruly Heroes
",NS,Platform,Unknown,Magic Design Studios,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Jan 19,N/A
"Ice Age: Dawn of the Dinosaurs
",PC,Platform,Activision,Eurocom Entertainment Software,6.9,6.8,N/A,N/A,0.02,0.02,0.00,N/A,0.00,30th Jun 09,N/A,2009
"Ice Age: Dawn of the Dinosaurs
",PS2,Platform,Activision,Eurocom Entertainment Software,6.9,N/A,N/A,N/A,0.17,0.08,0.07,N/A,0.02,30th Jun 09,N/A,2009
"Ice Age: Dawn of the Dinosaurs
",PS3,Platform,Activision,Eurocom Entertainment Software,6.9,6.6,N/A,N/A,0.19,0.13,0.04,N/A,0.02,30th Jun 09,N/A,2009
"Ice Age: Dawn of the Dinosaurs
",Wii,Platform,Activision,Eurocom Entertainment Software,6.9,7.2,N/A,N/A,0.28,0.11,0.14,N/A,0.03,30th Jun 09,N/A,2009
"Ice Age: Dawn of the Dinosaurs
",X360,Platform,Activision,Eurocom Entertainment Software,6.9,6.7,N/A,N/A,0.12,0.09,0.03,N/A,0.01,30th Jun 09,N/A,2009
"Dust: An Elysian Tail
",XBL,Platform,Microsoft Studios,Humble Hearts,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Aug 12,01st Oct 18,2012
"Yoshi's New Island
",3DS,Platform,Nintendo,Arzest,6.8,N/A,N/A,2.05,N/A,N/A,N/A,N/A,N/A,14th Mar 14,01st Feb 18,2014
"Little Deviants
",PSV,Platform,Sony Computer Entertainment,Bigbig Studios,6.7,N/A,N/A,N/A,0.32,0.14,0.13,N/A,0.05,15th Feb 12,N/A,2012
"Rayman 3D
",3DS,Platform,Ubisoft,Ubisoft,6.7,6.3,N/A,N/A,0.64,0.23,0.36,N/A,0.06,22nd Mar 11,N/A,2011
"Crush3D
",3DS,Platform,Sega,Zoë Mode,6.6,6.5,N/A,N/A,0.15,0.10,0.04,N/A,0.01,06th Mar 12,N/A,2012
"Flyhunter Origins
",PSV,Platform,Unknown,Steel Wool Games,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 22,N/A
"Lost in Shadow
",Wii,Platform,Hudson Soft,Hudson Soft,6.6,6.7,N/A,N/A,0.12,0.09,0.00,0.01,0.01,04th Jan 11,N/A,2011
"Sonic Adventure 2
",PS3,Platform,Sega,Sonic Team,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Oct 12,N/A,2012
"Street Fighter X Mega Man
",PC,Platform,Unknown,Seow Zong Hui,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Aug 22,N/A
"Alex Kidd in Miracle World DX
",PC,Platform,Merge Games,Merge Games,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jun 21,20th May 21,2021
"Little Nightmares 2
",NS,Platform,Bandai Namco Entertainment,Tarsier Studios,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Feb 21,29th Oct 19,2021
"Pumpkin Jack
",XS,Platform,Unknown,Nicolas Meyssonnier,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Oct 21,N/A
"Shinobi
",3DS,Platform,Sega,Griptonite Games,6.5,7,N/A,N/A,0.23,0.14,0.07,N/A,0.02,15th Nov 11,N/A,2011
"Sonic the Hedgehog 4: Episode 2
",XBL,Platform,Sega,Dimps Corporation,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th May 12,N/A,2012
